App Name,Truth Status,Platform,Platform ID,Owner,Repository,URL,Purpose,Environment,Integration Dependencies,Production Evidence,Duplicate Of,Notes
Nobleport Nexus,verified_exists,base44,68ace5b69c57f0a42e92246f,UNVERIFIED,UNVERIFIED,UNVERIFIED,Only clearly-named NoblePort-core app in the Base44 workspace.,UNVERIFIED,,UNVERIFIED,,"Existence verified via Base44 list_user_apps API, read 2026-06-26. Deployment/URL unverified."
Nobleport Nexus (Copy),duplicate,base44,68bb29aad4e60929fceffad6,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,Nobleport Nexus,"Name-copy. Verified present via Base44 list_user_apps API, read 2026-06-26."
ENS Identity Lens,verified_exists,base44,68aa083c32ee5b441e4b0e12,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,,"Likely Web3/identity. Verified present via Base44 list_user_apps API, read 2026-06-26."
Stellaris Assets,verified_exists,base44,68aa191b21654352ac53348f,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,,"Original of two copies. Verified present via Base44 list_user_apps API, read 2026-06-26."
Stellaris Assets (Copy),duplicate,base44,68aa299ffbd2256c2556f9b7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,Stellaris Assets,"Name-copy #1. Verified present via Base44 list_user_apps API, read 2026-06-26."
Stellaris Assets (Copy),duplicate,base44,68aa2991e01040cd71a387aa,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,Stellaris Assets,"Name-copy #2. Verified present via Base44 list_user_apps API, read 2026-06-26."
CryptoPulse AI (Copy),duplicate,base44,68ab857a69e17e178f1971b0,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,CryptoPulse AI,"Only a (Copy) exists in the workspace; no original 'CryptoPulse AI' is present. Verified via Base44 list_user_apps API, read 2026-06-26."
CryptoChart AI (Copy),duplicate,base44,68ab85dd565d5e8cc50800f1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,CryptoChart AI,"Only a (Copy) exists in the workspace; no original 'CryptoChart AI' is present. Verified via Base44 list_user_apps API, read 2026-06-26."
AquaHut,experiment,base44,68a9fd15179e8fd07373ef5b,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,,"Most-duplicated build (3 copies). Verified via Base44 list_user_apps API, read 2026-06-26."
AquaHut (Copy),duplicate,base44,68d67e7711c551c2152abd14,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,UNVERIFIED,AquaHut,
